population	n	human_perc	continent_n	continent_states	continent_same	continent_perc	country_n	country_states	country_same	country_perc	province_n	province_states	province_same	province_perc
1.ORI	117	26	117	5	104	89	117	14	99	85	112	26	67	60
1.IN	39	15	39	1	39	100	39	1	39	100	39	5	34	87
1.ANT	4	50	4	1	4	100	4	3	2	50	1	1	0	0
1.PRE	40	100	40	1	40	100	40	11	22	55	40	17	22	55
2.MED	116	15	116	2	88	76	116	9	70	60	110	38	37	34
2.ANT	54	31	54	2	52	96	54	4	49	91	54	10	47	87
4.ANT	11	9	11	2	9	82	11	2	9	82	11	3	9	82
3.ANT	11	9	11	1	11	100	11	2	11	100	11	7	5	45
0.ANT4	12	100	12	2	11	92	12	5	10	83	12	5	10	83
0.ANT	103	0	103	1	103	100	103	2	100	97	99	4	95	96
0.PE	86	7	86	2	85	99	86	8	77	90	84	20	63	75
0.PRE	8	100	8	1	8	100	8	4	3	38	8	6	3	38
